Category,Guidelines,Priority,Count,Line,Description,Detail,Help,URL,Target URL,Reference
Accessibility,WCAG 2.1 A F68 Section 508 (2017) A F68 ,1,1,187 ,HTML form control has no label.,,A label (or name) linked to the control allows screen readers to voice the label correctly when reading the control. To add a label do one of the following: Use a label element with the for attribute set to the ID of the form control Wrap a label element around the form control Add a title attribute Add an aria-label attribute Add an aria-labelledby attribute,https://testamis.nhlbi.nih.gov/index.php/add_multiple_animals,,https://www.w3.org/TR/WCAG20-TECHS/F68.html https://www.w3.org/TR/WCAG20-TECHS/F68.html 
Accessibility,WCAG 2.1 A F68 Section 508 (2017) A F68 ,1,5,595 595 595 595 595 ,HTML form control has no label.,,A label (or name) linked to the control allows screen readers to voice the label correctly when reading the control. To add a label do one of the following: Use a label element with the for attribute set to the ID of the form control Wrap a label element around the form control Add a title attribute Add an aria-label attribute Add an aria-labelledby attribute,https://testamis.nhlbi.nih.gov/index.php/request_blood,,https://www.w3.org/TR/WCAG20-TECHS/F68.html https://www.w3.org/TR/WCAG20-TECHS/F68.html 
Accessibility,WCAG 2.1 A 4.1.2 Section 508 (2017) A 4.1.2 ,1,5,595 595 595 595 595 ,The label element is blank.,,Add text to the label describing the associated control.,https://testamis.nhlbi.nih.gov/index.php/request_blood,,https://www.w3.org/TR/UNDERSTANDING-WCAG20/ensure-compat-rsv.html https://www.w3.org/TR/UNDERSTANDING-WCAG20/ensure-compat-rsv.html 
Accessibility,WCAG 2.1 A 3.1.1 Section 508 (2017) A 3.1.1 ,1,1,2 ,Use the lang attribute to identify the language of the page.,,"In HTML add a lang attribute containing a language code to the html tag, and in PDF set the language using Document Properties in Acrobat. This allows screen readers to pronounce words correctly.",https://testamis.nhlbi.nih.gov/index.php/request_blood,,https://www.w3.org/TR/UNDERSTANDING-WCAG20/meaning-doc-lang-id.html https://www.w3.org/TR/UNDERSTANDING-WCAG20/meaning-doc-lang-id.html 
Accessibility,WCAG 2.1 A F42 Section 508 (2017) A F42 ,1,1,337 ,This element uses JavaScript to behave like a link. Links like this cannot be tabbed to from the keyboard and are not read out when screen readers list the links on a page.,,"Use an a or area element with a fallback link target in the href attribute, to ensure it receive keyboard focus and behaves like a link.",https://testamis.nhlbi.nih.gov/index.php/add_multiple_animals,,https://www.w3.org/TR/WCAG20-TECHS/F42.html https://www.w3.org/TR/WCAG20-TECHS/F42.html 
Accessibility,WCAG 2.1 A F73 Section 508 (2017) A F73 ,1,3,164 159 161 ,Removing the underline from links makes it hard for color-blind users to see them.,,"Remove the text-decoration:none property from your link styles, or add other style attributes in addition to color changes to make links visible without color vision.",https://testamis.nhlbi.nih.gov/index.php/animal/search_animal,,https://www.w3.org/TR/WCAG20-TECHS/F73.html https://www.w3.org/TR/WCAG20-TECHS/F73.html 
Accessibility,WCAG 2.1 A F87 Section 508 (2017) A F87 ,1,2,754 757 ,"Content inserted with CSS is not read by some screen readers, and not available to people who turn off style sheets.",,Move the content from CSS to the HTML page so that all users can see it. Impact on users:NVDA 2019.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2018.4 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2017.3 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2016.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2019.1912.1 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2018.1811.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 18.0.5038 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 17.0.2619 IE11 Windows 10 Reading: Text inserted by CSS content property not read.,https://testamis.nhlbi.nih.gov/assets/npm-asset/bootstrap/dist/css/bootstrap.min.css?1615316679,,https://www.w3.org/TR/WCAG20-TECHS/F87.html https://www.w3.org/TR/WCAG20-TECHS/F87.html 
Accessibility,WCAG 2.1 A F87 Section 508 (2017) A F87 ,1,2,5047 5084 ,"Content inserted with CSS is not read by some screen readers, and not available to people who turn off style sheets.",,Move the content from CSS to the HTML page so that all users can see it. Impact on users:NVDA 2019.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2018.4 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2017.3 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2016.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2019.1912.1 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2018.1811.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 18.0.5038 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 17.0.2619 IE11 Windows 10 Reading: Text inserted by CSS content property not read.,https://testamis.nhlbi.nih.gov/assets/css/custom.css?1615316642,,https://www.w3.org/TR/WCAG20-TECHS/F87.html https://www.w3.org/TR/WCAG20-TECHS/F87.html 
Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,1,90 ,Element a not allowed as child element in this context.,,,https://testamis.nhlbi.nih.gov/index.php/animal/search_animal,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses 
Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,1,95 ,Element a not allowed as child element in this context.,,,https://testamis.nhlbi.nih.gov/index.php/newAnimal,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses 
