Category,Guidelines,Priority,Count,Line,Description,Detail,Help,URL,Target URL,Reference
Accessibility,WCAG 2.1 A F87 Section 508 (2017) A F87 ,1,2,745 748 ,"Content inserted with CSS is not read by some screen readers, and not available to people who turn off style sheets.",,Move the content from CSS to the HTML page so that all users can see it. Impact on users:NVDA 2019.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2018.4 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2017.3 IE11 Windows 10 Reading: Text inserted by CSS content property not read.NVDA 2016.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2019.1912.1 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 2018.1811.2 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 18.0.5038 IE11 Windows 10 Reading: Text inserted by CSS content property not read.JAWS 17.0.2619 IE11 Windows 10 Reading: Text inserted by CSS content property not read.,https://testfyps.nhlbi.nih.gov/fyps/assets/npm-asset/bootstrap/dist/css/bootstrap.min.css,,https://www.w3.org/TR/WCAG20-TECHS/F87.html https://www.w3.org/TR/WCAG20-TECHS/F87.html 
Accessibility,WCAG 2.1 A 4.1.1 Section 508 (2017) A 4.1.1 ,1,5,98 416 622 667 622 ,Duplicate id - the same ID is used on more than one element., id=navbar id=navbar id=myModalLabel id=myModalLabel id=myModalLabel,,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses https://www.w3.org/TR/2008/REC-WCAG20-20081211/#ensure-compat-parses 
Accessibility,WCAG 2.1 AA 1.4.3 Section 508 (2017) AA 1.4.3 ,2,1,593 ,Ensure that text and background colors have enough contrast.,"The text color to background color contrast ratio is: 4.42 with color: rgb(108,117,125); background-color: rgb(248,248,248); font-size: 12pt; font-weight: 400;","Some users find it hard to read light gray text on a white background, dark gray text on a black background and white text on a red background. The contrast ratio should be 3.0 or more for 18 point text, or larger The contrast ratio should be 3.0 or more for 14 point bold text, or larger The contrast ratio should be 4.5 or more for all other text",https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/UNDERSTANDING-WCAG20/visual-audio-contrast-contrast.html https://www.w3.org/TR/UNDERSTANDING-WCAG20/visual-audio-contrast-contrast.html 
Accessibility,WCAG 2.1 AA 1.4.4 Section 508 (2017) AA 1.4.4 ,2,1,10 ,Do not use the meta viewport tag to disable zoom.,,Setting user-scalable=no or maximum-scale to less than 2.0 prevents zooming small text to make it readable. Note that iOS 10+ ignores this setting.,https://testfyps.nhlbi.nih.gov/fyps/index.php/,,https://www.w3.org/TR/UNDERSTANDING-WCAG20/visual-audio-contrast-scale.html https://www.w3.org/TR/UNDERSTANDING-WCAG20/visual-audio-contrast-scale.html 
Accessibility,WCAG 2.1 AA F78 Section 508 (2017) AA F78 ,2,5,750 955 958 961 964 ,The CSS outline or border style on this element makes it difficult or impossible to see the dotted link focus outline.,,"Change the style to avoid obscuring the focus outline around focusable elements. Using a border or outline style that obscures the focus ring causes problems for keyboard-only users in: Chrome (obscures the focus indicator on links, buttons, dropdowns and range controls) Firefox (obscures the focus indicator on links) Internet Explorer (obscures the focus indicator on links, buttons and range controls) Internet Explorer does not support the `outline-offset:` property, so using this does not reliably avoid focus outline overlap.",https://testfyps.nhlbi.nih.gov/fyps/assets/npm-asset/bootstrap/dist/css/bootstrap.min.css,,https://www.w3.org/TR/WCAG20-TECHS/F78.html https://www.w3.org/TR/WCAG20-TECHS/F78.html 
Compatibility,Internet Explorer  ,2,1,6 ,CSS custom properties are not supported by some browsers.,,,https://testfyps.nhlbi.nih.gov/fyps/assets/npm-asset/bootstrap/dist/css/bootstrap.min.css,,https://developer.mozilla.org/en-US/docs/Web/CSS/Using_CSS_variables 
Compatibility,Internet Explorer ≤ 11 ,2,5,107 442 448 484 486 ,The display: flex CSS property does not work correctly in some browsers.,,,https://testfyps.nhlbi.nih.gov/fyps/assets/npm-asset/bootstrap/dist/css/bootstrap.min.css,,https://developer.mozilla.org/en-US/docs/Web/CSS/display 
Compatibility,Internet Explorer  iPhone/iPad ≤ 9 ,2,1,164 ,The CSS filter: property is not supported by some browsers.,,,https://testfyps.nhlbi.nih.gov/fyps/assets/npm-asset/fortawesome--fontawesome-free/css/fontawesome.css,,https://developer.mozilla.org/en-US/docs/Web/CSS/filter https://developer.mozilla.org/en-US/docs/Web/CSS/filter 
Compatibility,Internet Explorer  iPhone/iPad ≤ 9 ,2,1,164 ,The CSS filter: property is not supported by some browsers.,,,https://testfyps.nhlbi.nih.gov/fyps/assets/npm-asset/fortawesome--fontawesome-free/css/all.css,,https://developer.mozilla.org/en-US/docs/Web/CSS/filter https://developer.mozilla.org/en-US/docs/Web/CSS/filter 
Compatibility,Internet Explorer  iPhone/iPad ≤ 9 ,2,5,121 299 422 435 733 ,The CSS filter: property is not supported by some browsers.,,,https://testfyps.nhlbi.nih.gov/fyps/assets/css/easyui.css,,https://developer.mozilla.org/en-US/docs/Web/CSS/filter https://developer.mozilla.org/en-US/docs/Web/CSS/filter 
